[COT 2022-8M-27 15:22:2s] 76561198015557715: Teleported to position <3736.571533, 402.451385, 6000.979492>
[COT 2022-8M-27 15:22:16] 76561198015557715: Set rain to 0 0 0
[COT 2022-8M-27 15:22:16] 76561198015557715: Set storm to 0 0.8 4000
[COT 2022-8M-27 15:22:16] 76561198015557715: Set fog to 0.0411553 0 0
[COT 2022-8M-27 15:22:16] 76561198015557715: Set overcast to 0.492126 0 0
[COT 2022-8M-27 15:22:16] 76561198015557715: Set the date to 2022/9/20 11:45
[COT 2022-8M-27 15:22:16] 76561198015557715: Set wind to 19.8837 19.8837 1
[COT 2022-8M-27 15:23:16] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828cb6f0>, 1, 100) at <3708.914551, 402.012421, 5972.861816>
[COT 2022-8M-27 15:23:17] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828c84a0>, 1, 100) at <3708.914551, 402.012421, 5972.861816>
[COT 2022-8M-27 15:23:47] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828cfd60>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:48] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828c8eb0>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:48] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828d8030>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:48] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828d9450>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:48] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828d6200>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:48] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828e7bc0>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:49] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828e71b0>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:49] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828e8fe0>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:49] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828e5d90>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:49] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828df8f0>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:23:49] 76561198015557715: Spawned Entity USD Banknotes Stack (ExpansionBanknoteUSD<828e2130>, 1, 100) at <3709.174316, 402.012451, 5972.103027>
[COT 2022-8M-27 15:25:42] 76561198015557715: Spawned Entity Silver Nugget (ExpansionSilverNugget<828e2130>, 1, 100) at <3709.463135, 402.012421, 5972.445313>
[COT 2022-8M-27 15:27:41] 76561198015557715: Spawned Entity Silver Bar (ExpansionSilverBar<828e2b40>, 1, 100) at <3702.452148, 402.012390, 5980.611816>
[COT 2022-8M-27 15:28:11] 76561198015557715: Spawned Entity Gold Bar (ExpansionGoldBar<828df8f0>, 1, 100) at <3709.485107, 402.012390, 5973.136230>
