[COT 2022-9M-8D 0h:19:17] 76561198015557715: Spawned Entity SLR PDW (TTCKAC_Base<d9bdf820>, -1, 450) at <7199.673828, 252.992477, 6981.522949>
[COT 2022-9M-8D 0h:30:50] 76561198015557715: Spawned Entity MAS 36 CR39 (MAS36_base<7677c140>, -1, 200) at <7200.097656, 252.992416, 6981.458496>
[COT 2022-9M-8D 0h:31:30] 76561198015557715: Healed [guid=F6ba8Lb5rTfk7SPTvehszX71D171DjV-B9kT6vj9WHY=]
[COT 2022-9M-8D 0h:31:31] 76561198015557715: Set GodMode To true [guid=F6ba8Lb5rTfk7SPTvehszX71D171DjV-B9kT6vj9WHY=]
[COT 2022-9M-8D 0h:31:48] 76561198015557715: Spawned Entity Karabiner 98k (k98_Base<767a42e0>, -1, 300) at <7197.356934, 253.019821, 6970.928223>
[COT 2022-9M-8D 0h:32:18] 76561198015557715: Spawned Entity Remington Model 700 (Winchester70_Base<188433f0>, -1, 450) at <7197.356934, 253.019821, 6970.928223>
[COT 2022-9M-8D 0h:32:47] 76561198015557715: Spawned Entity SR-25 Snow (TTCSR25_Base<6b942bb0>, -1, 450) at <7197.356934, 253.019821, 6970.928223>
[COT 2022-9M-8D 0h:33:33] 76561198015557715: Spawned Entity HK416 (TTC_HK416_Base<70e60be0>, -1, 450) at <7197.539551, 253.019821, 6971.179199>
[COT 2022-9M-8D 0h:34:37] 76561198015557715: Spawned Entity SG 552 Commando (TTC_SG552_Base<7b5791e0>, -1, 250) at <7199.465820, 252.992477, 6980.895996>
[COT 2022-9M-8D 0h:35:8s] 76561198015557715: Spawned Entity SG 550 (TTC_SG550_Base<1202e240>, -1, 250) at <7199.465820, 252.992477, 6980.895996>
[COT 2022-9M-8D 0h:35:37] 76561198015557715: Spawned Entity M16A1 (TTC_M16A_Base<1202b600>, -1, 450) at <7199.465820, 252.992477, 6980.895996>
[COT 2022-9M-8D 0h:35:38] 76561198015557715: Spawned Entity M16A4 (TTC_M16A4_Base<12027eb0>, -1, 450) at <7199.465820, 252.992477, 6980.895996>
[COT 2022-9M-8D 0h:39:35] 76561198015557715: Spawned Entity AEK-973 (TTC_AEK_Base<120294d0>, -1, 400) at <7199.465820, 252.992477, 6980.895996>
[COT 2022-9M-8D 0h:40:28] 76561198015557715: Spawned Entity MK216 MOD 1-M (TTC_M4DMR_Base<1202c110>, -1, 450) at <7199.465820, 252.992477, 6980.895996>
