12:01:54 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) joinded the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
12:02:21 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) left the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
12:02:52 [Party] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) joinded the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
12:35:21 [Party] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) joinded the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
13:15:09 [Safezone] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ= pos=<7295.165527, 260.048370, 7075.685547>) Entered the safezone
13:16:08 [Party] Player "Soullessmonarcs" (id=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik=) left the party "Soulless" (id=23 ownerUID=3JRWaVBlu0rexFl5dzKjDY8AHl_--AJHXa-aQMieyik= ownerName=Soullessmonarcs)
13:18:24 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell sardinescan x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:24 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold sardinescan x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 10.
13:18:25 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell tunacan x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:25 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold tunacan x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 4.
13:18:26 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell powderedmilk x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:26 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold powderedmilk x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 2.
13:18:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell zagorky x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold zagorky x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 4.
13:18:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell zagorkypeanuts x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold zagorkypeanuts x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 4.
13:18:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell sodacan_kvass x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold sodacan_kvass x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1.
13:18:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell sodacan_pipsi x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold sodacan_pipsi x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1.
13:18:31 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell sodacan_pipsi x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:31 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold sodacan_pipsi x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 5.
13:18:32 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell sodacan_spite x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:18:32 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold sodacan_spite x1 at the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1.
13:19:33 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell magnum x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:19:33 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold magnum x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 750.
13:19:34 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell colt1911 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:19:34 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold colt1911 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 250.
13:20:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell startkitiv x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:20:27 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold startkitiv x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 25.
13:20:28 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell thermometer x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:20:28 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold thermometer x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 6.
13:20:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell bloodtestkit x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
13:20:30 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has sold bloodtestkit x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 25.
13:21:10 [Market] Player "WolfMadness" (id=c4HSBe2kjxrPMaliQvxlVkqXx1B002mwOfk2xAqaYKQ=) has send a requested to sell charcoaltablets x1 at the trader "Medic (Lewis [Medic])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
