14:36:59 [Safezone] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY= pos=<7091.242676, 264.314575, 6884.198730>) Entered the safezone
14:38:55 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell pp19 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:38:55 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has sold pp19 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 575.
14:39:01 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell expansion_vityazsn x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:39:01 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has sold expansion_vityazsn x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 513.
14:39:26 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell akm x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:39:26 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has sold akm x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1837.
14:39:34 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell b95 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:39:35 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has sold b95 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 1500.
14:40:07 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:40:08 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 56.
14:40:09 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:40:09 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 56.
14:40:11 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:40:11 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought ammobox_380_35rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 56.
14:40:24 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase ammobox_357_20rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:40:24 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought ammobox_357_20rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 32.
14:41:04 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase omnogloves_gray x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:41:04 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought omnogloves_gray x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 40.
14:41:35 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase tacticalshirt_grey x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:41:36 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought tacticalshirt_grey x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 400.
14:42:34 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase platecarriervest x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:42:34 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought platecarriervest x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 800.
14:43:38 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell militarygear_highcapvest_tiger x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:43:38 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has sold militarygear_highcapvest_tiger x1 at the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 300.
14:44:52 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase huntingknife x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:44:52 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought huntingknife x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 75.
14:44:57 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase whetstone x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:44:57 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought whetstone x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 200.
14:46:02 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to purchase mkii x1 from the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
14:46:02 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has bought mkii x1 from the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 50.
14:46:11 [Market] Player "Rando" (id=JvvCHnGuyh_nfZYJHhwPEuqC4PLOVPMEAKGSXu_-8kY=) has send a requested to sell makarovij70 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
