18:17:49 [Safezone] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4= pos=<7271.709473, 258.994202, 7028.172363>) Entered the safezone
18:27:56 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase lunchmeat x2 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
18:27:56 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought lunchmeat x2 from the trader "Consumables (Irena [Consumables])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 40.
18:29:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell handcuffkeys x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
18:29:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold handcuffkeys x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 25.
18:29:42 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell handcuffs x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
18:29:42 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold handcuffs x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 62.
18:29:43 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell handcuffs x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
18:29:43 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold handcuffs x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 62.
18:59:53 [Safezone] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4= pos=<7209.855469, 253.025970, 6982.866699>) Entered the safezone
19:00:29 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell ssg82 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:00:30 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold ssg82 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 750.
19:00:43 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell glock19 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:00:44 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold glock19 x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 325.
19:00:46 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell longhorn x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:00:46 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold longhorn x1 at the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 275.
19:11:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase ttc_m4tac x1 from the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:11:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought ttc_m4tac x1 from the trader "Weapons (Seth [Weapons])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 5500.
19:13:17 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell mag_ssg82_5rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:13:17 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold mag_ssg82_5rnd x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 36.
19:13:52 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell acogoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:13:53 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold acogoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 150.
19:13:54 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell reflexoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:13:54 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold reflexoptic x1 at the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 81.
19:16:46 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase mag_stanagcoupled_30rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:16:46 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought mag_stanagcoupled_30rnd x1 from the trader "Ammo_Attachments (Taiki [Ammo & Attachments])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 340.
19:18:35 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase battery9v x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:18:35 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought battery9v x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 50.
19:18:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase battery9v x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:18:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought battery9v x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 50.
19:19:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell flashlight x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:19:38 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold flashlight x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 12.
19:19:57 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase nvgoggles x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:19:57 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought nvgoggles x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 1250.
19:20:02 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase nvgoggles x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:20:03 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought nvgoggles x1 from the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 1250.
19:22:12 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to sell nvgoggles x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:22:12 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has sold nvgoggles x1 at the trader "Tools_Supplies (Kaito [Tools & Supplies])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) and got 600.
19:31:19 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase mvs_combat_vest_heavy_snow x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:31:19 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought mvs_combat_vest_heavy_snow x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 3650.
19:33:40 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has send a requested to purchase mvs_warriorhelmet_snow x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>).
19:33:41 [Market] Player "Caged Rage81" (id=GWTeBMtw-uYUd4uXvvI-KfhtsqlA1Dyz6uqis-pJdA4=) has bought mvs_warriorhelmet_snow x1 from the trader "MilitaryGear (Judy [Military Gear])" in market zone "Outpost 42" (pos=<7196.500000, 252.990005, 6976.500000>) for a price of 1500.
